day,b1,b3,b7
2014039,8871,19584,65533
2014040,6798,11976,65533
2014041,14729,65533,65533
2014043,7193,15424,65533
2014044,20602,65533,65533
2014045,9886,22659,65533
2014046,9614,20614,65533
2014047,7958,15886,65533
2014048,8467,17451,65533
2014049,17927,65533,65533
2014050,7087,14974,65533
2014051,21585,65533,65533
2014052,19529,65533,65533
2014053,12510,28265,65533
2014054,28018,65533,65533
2014055,10992,24647,65533
2014056,21494,65533,65533
2014057,15191,65533,65533
2014059,14106,65533,65533
2014060,8453,15096,65533
2014061,7519,14658,65533
2014062,23487,65533,65533
2014063,9916,20700,65533
2014064,6635,12098,65533
2014065,8205,13748,65533
2014066,7484,15870,65533
2014067,13825,29397,65533
2014068,7935,15582,65533
2014069,9817,19286,65533
2014070,13125,30779,65533
2014071,12504,29218,65533
2014072,7545,13229,65533
2014073,7911,17081,65533
2014075,11311,26427,65533
2014076,9595,18470,65533
2014077,16195,65533,65533
2014078,17447,65533,65533
2014079,6853,12286,65533
2014080,7371,13962,65533
2014081,8357,14059,65533
2014082,11375,25841,65533
2014083,15583,65533,65533
2014084,9647,20120,65533
2014085,9247,17912,65533
2014086,26464,65533,65533
2014087,9655,20475,65533
2014088,11263,23091,65533
2014089,8567,18110,65533
2014091,9085,19632,65533
2014092,13805,29391,65533
2014093,6990,13529,65533
2014094,8001,14827,65533
2014095,6976,12023,65533
2014096,9253,18730,65533
2014097,10857,21142,65533
2014098,11424,25711,65533
2014099,12940,27317,65533
2014100,30652,65533,65533
2014101,27830,65533,65533
2014102,11494,24433,65533
2014103,9786,19631,65533
2014104,11648,23865,65533
2014105,31241,65533,65533
2014107,23570,65533,65533
2014108,27435,65533,65533
2014109,65533,65533,65533
2014110,15661,65533,65533
2014111,10617,21751,65533
2014112,19944,65533,65533
2014113,13758,27849,65533
2014114,15494,65533,65533
2014115,21792,65533,65533
2014116,8271,15727,65533
2014117,10031,19479,65533
2014118,7575,13735,65533
2014119,8588,16291,65533
2014120,10728,20244,65533
2014121,17937,65533,65533
2014123,65533,65533,65533
2014124,27978,65533,65533
2014125,7959,13590,65533
2014126,65529,65533,65533
2014127,8695,14929,65533
2014128,11527,23476,65533
2014129,65533,65533,65533
2014130,65533,65533,65533
2014131,65533,65533,65533
2014132,7420,12559,65533
2014133,12857,27451,65533
2014134,16459,65533,65533
2014135,9392,19045,65533
2014136,7777,12624,65533
2014137,10830,23420,65533
2014139,11774,25795,65533
2014140,10070,17724,65533
2014141,8654,15827,65533
2014142,9243,16767,65533
2014143,10812,20812,65533
2014144,14551,28950,65533
2014145,15939,65533,65533
2014146,18645,65533,65533
2014147,65533,65533,65533
2014148,7208,12403,65533
2014149,11114,22143,65533
2014150,9222,17149,65533
2014151,24834,65533,65533
2014152,23941,65533,65533
2014153,16184,65533,65533
2014155,24688,65533,65533
2014156,19050,65533,65533
2014157,65533,65533,65533
2014158,8684,14824,65533
2014159,7975,13057,65533
